NO,구분,고객번호,구분1,본부명,센터,팀,국사,고객번호
119,대상,0917081356,#N/A,3.부산/경남,경남액세스운용센터,마산운용팀,마산,0917081356
120,대상,0917014964,#N/A,3.부산/경남,경남액세스운용센터,마산운용팀,의령,0917014964
121,대상,0917088448,#N/A,3.부산/경남,경남액세스운용센터,마산운용팀,창녕,0917088448
122,대상,0917063394,#N/A,3.부산/경남,경남액세스운용센터,마산운용팀,함안,0917063394
123,대상,0917091274,estate,3.부산/경남,경남액세스운용센터,창원운용팀,서창원(본동),0917091274
124,대상,0917012485,#N/A,3.부산/경남,경남액세스운용센터,창원운용팀,진해,0917012485
125,대상,0917092399,estate,3.부산/경남,경남액세스운용센터,창원운용팀,창원,0917092399
126,대상,0917066248,#N/A,3.부산/경남,경남액세스운용센터,거제운용팀,거제,0917066248
127,대상,0917029271,#N/A,3.부산/경남,경남액세스운용센터,거제운용팀,고성,0917029271
128,대상,0917036496,#N/A,3.부산/경남,경남액세스운용센터,거제운용팀,장승포,0917036496
129,대상,0917075817,#N/A,3.부산/경남,경남액세스운용센터,거제운용팀,통영,0917075817
130,대상,0917086306,#N/A,3.부산/경남,경남액세스운용센터,동진주운용팀,동진주,0917086306
131,대상,0917011949,#N/A,3.부산/경남,경남액세스운용센터,진주운용팀,합천,0917011949
132,대상,0422202869,#N/A,3.부산/경남,경남액세스운용센터,남울산운용팀,남울산,0422202869
133,대상,0430645518,#N/A,3.부산/경남,경남액세스운용센터,남울산운용팀,봉월(남울산분기국사),0430645518
134,대상,0422202066,estate,3.부산/경남,경남액세스운용센터,남울산운용팀,서울산(본동),0422202066
135,대상,0422159407,#N/A,3.부산/경남,경남액세스운용센터,울산운용팀,농소R2,0422159407
136,대상,0422030260,#N/A,3.부산/경남,경남액세스운용센터,울산운용팀,동울산,0422030260
137,대상,0422203804,#N/A,3.부산/경남,경남액세스운용센터,울산운용팀,울산,0422203804
138,대상,0917084246,#N/A,3.부산/경남,경남액세스운용센터,양산운용팀,밀양,0917084246
139,대상,0422028905,#N/A,3.부산/경남,경남액세스운용센터,양산운용팀,양산,0422028905
140,대상,0422005350,#N/A,3.부산/경남,경남액세스운용센터,양산운용팀,웅상,0422005350
141,대상,0422030439,#N/A,3.부산/경남,경남액세스운용센터,김해운용팀,김해,0422030439
142,대상,0422024464,직할센터,직할센터,부산국제통신센터,국제해저인프라팀,부산국제해저,0422024464
143,대상,0917099392,직할센터,직할센터,부산국제통신센터,거제해저중계소,거제해저중계소,0917099392
145,대상,0530191639,무선,4.대구/경북,대구/경북ICT기술담당,엔지니어링기술부,대구효목교환국사,0530191639
147,대상,0526254506,#N/A,4.대구/경북,대구/경북코어운용센터,전원기술부,봉덕(본동),0526254506
148,대상,0526273380,#N/A,4.대구/경북,대구/경북코어운용센터,전원기술부,북대구,0526273380
149,대상,0526254105,#N/A,4.대구/경북,대구액세스운용센터,대구운용팀,남대구,0526254105
150,대상,0526272274,estate,4.대구/경북,대구액세스운용센터,대구운용팀,대구(스마트메디터워),0526272274
152,대상,0526196142,#N/A,4.대구/경북,대구액세스운용센터,달서운용팀,고령,0526196142
153,대상,0526071240,#N/A,4.대구/경북,대구액세스운용센터,달서운용팀,달성,0526071240
155,대상,0526041666,estate,4.대구/경북,대구액세스운용센터,서대구운용팀,달서(본동),0526041666
156,대상,0526265380,비통신,비통신,대구액세스운용센터,서대구운용팀,대구물류(신당),0526265380
157,대상,0526253981,#N/A,4.대구/경북,대구액세스운용센터,서대구운용팀,서대구(평리),0526253981
159,대상,0526263248,#N/A,4.대구/경북,대구액세스운용센터,칠곡운용팀,왜관,0526263248
160,대상,0526073685,estate,4.대구/경북,대구액세스운용센터,칠곡운용팀,칠곡(태전),0526073685
161,대상,0526072203,#N/A,4.대구/경북,대구액세스운용센터,동대구운용팀,동대구,0526072203
162,대상,0526242743,#N/A,4.대구/경북,대구액세스운용센터,동대구운용팀,산격,0526242743
163,대상,0526108201,#N/A,4.대구/경북,대구액세스운용센터,동대구운용팀,안심,0526108201
164,대상,0526170188,estate,4.대구/경북,대구액세스운용센터,수성운용팀,고산(본동),0526170188
165,대상,0526295758,#N/A,4.대구/경북,대구액세스운용센터,경산운용팀,경산,0526295758
166,대상,0526253197,#N/A,4.대구/경북,대구액세스운용센터,경산운용팀,영천,0526253197
168,대상,1511037985,#N/A,4.대구/경북,경북액세스운용센터,안동운용팀,서안동,1511037985
169,대상,1511009756,#N/A,4.대구/경북,경북액세스운용센터,안동운용팀,청송,1511009756
170,대상,1511009462,#N/A,4.대구/경북,경북액세스운용센터,영주운용팀,영주,1511009462
171,대상,1511006544,#N/A,4.대구/경북,경북액세스운용센터,영주운용팀,예천,1511006544
172,대상,0526125638,#N/A,4.대구/경북,경북액세스운용센터,구미운용팀,공단,0526125638
173,대상,0526307889,#N/A,4.대구/경북,경북액세스운용센터,구미운용팀,구미,0526307889
174,대상,0526255747,#N/A,4.대구/경북,경북액세스운용센터,상주운용팀,김천,0526255747
175,대상,1511027932,#N/A,4.대구/경북,경북액세스운용센터,상주운용팀,문경,1511027932
176,대상,0526062054,#N/A,4.대구/경북,경북액세스운용센터,상주운용팀,상주,0526062054
178,대상,0526258593,#N/A,4.대구/경북,경북액세스운용센터,포항운용팀,포항,0526258593
179,대상,0526028789,#N/A,4.대구/경북,경북액세스운용센터,북포항운용팀,북포항,0526028789
180,대상,1511012788,#N/A,4.대구/경북,경북액세스운용센터,북포항운용팀,울진,1511012788
